Ingressos e Tickets,,,,,,,,,
Broadway,,,,,,,,,
9/11 Memorial,,33,https://www.911memorial.org/visit/visit-museum-1?utm_source=Ribbon&utm_medium=Web&utm_campaign=a,O Museu abre de quarta-feira - segunda-feira (fechado às terças): das 09:00 - 19:00. Diariamente: 08:00 - 20:00.,"O Memorial e Museu do 11 de Setembro homenageiam as quase 3.000 vítimas desses ataques e todos aqueles que arriscaram suas vidas para salvar outras. Visite os espelhos d’água refletores do Memorial que ficam no local exato onde as Torres Gêmeas ficavam. Essas piscinas têm quase um acre de tamanho e apresentam as maiores cachoeiras artificiais da América do Norte. Os nomes de todas as pessoas que morreram nos ataques de 2001 e 1993 estão inscritos nos painéis de bronze que cercam as piscinas.  Seu passe oferece entrada para o espaço de exposições de mais de 10 mil metros quadrados do museu, onde você pode conhecer a história do 11 de setembro por meio de exibições multimídia, arquivos, relatos e uma coleção de artefatos monumentais e autênticos.  O Memorial e Museu do 11 de Setembro em Nova York lembra as perdas dos ataques terroristas ocorridos no dia 11 de setembro de 2001. O local, que ocupa a área onde as Torres Gêmeas ficavam, inclui uma coleção de materiais que remontam os eventos do dia e tópicos relacionados, como a bomba do World Trade Center em 1993. O local presta homenagem às vítimas desses eventos e ofecere um lembrete dos dias mais sombrios dos Estados Unidos.",Dica: visite a atração cedo pela manhã. Neste horário o tempo de espera é menor.,,"Entrada no Museu - US$ 21 a US$ 33, Entrada no museu + visita ao museu - US$ 41-US$ 53, Memorial + Visita ao Museu - US$ 84",6604882719
Museu da Broadway,,"46,82",http://www.themuseumofbroadway.com/,"Segunda a quarta: 9h30 às 14h30  Quinta, sexta e domingo: 9h30 – 18h30  Sábado: 9h30 – 20h","O Museu da Broadway é um museu interativo e experiencial que celebra a rica história da Broadway. Veja centenas de fantasias, adereços e artefatos raros e experimente a Broadway como nunca antes.",,,,6604883883
Ilusion Museum,,,,,,,,,6708840458
Museu Guggenheim,,30,,,,,,,6715137213
Museu Whitney de Arte Americana,,30,https://whitney.org/tickets,Quarta-feira - Segunda-feira : 10:30 - 18:00,,Fechado às terças-feiras.,,,6721358871
Museu do Sorvete,,,,,,,,,7684998950
,,,,,,,,,
,,,,,,,,,
Passeios,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
The Edge,,"50,08",,,,,,,6604888050
Empire State,,"51,17",https://www.esbnyc.com/buy-tickets,19de julho a 25 de agosto 9h00 - 1h00  A porta de entrada fecha às 12h15.,"Siga em direção ao 86º andar, a 320 metros acima do solo, para ter uma vista de 360º da cidade que nunca dorme. Seja durante o dia ou a noite, esta é uma atração imperdível de Nova York. O deck ao ar livre ganhou recentemente novos aquecedores para que os visitantes aproveitem a vista icônica de Nova York, não importa o clima.   Localizado no coração da cidade e construído durante o período que ficou conhecido como a Grande Depressão, o Empire State Building simboliza esperança, perseverança e prosperidade. O arranha-céu é um dos monumentos mais conhecidos do mundo.","O Empire State Building tem 443.2 metros de altura e um total de 102 andares.  De acordo com um estudo realizado pela Sony Mobile, este é o monumento mais instagramado dos Estados Unidos. Os casais às vezes podem sentir faíscas quando se beijam devido à eletricidade estática no topo do prédio. Você pode ver até 130 quilômetros em um dia claro, abrangendo cinco estados: Nova York, Nova Jersey, Connecticut, Pensilvânia e Massachusetts. O Empire State Building já atuou em muitos filmes icônicos, incluindo Sintonia de Amor, Elf - O falso duende e O grande amor da minha vida.",,,6604888918
One World Observatory,,"49,91",,,,,,,6604890954
Estátua da Liberdade,,,,,,,,,6604893715
Helicoptero,,,,,,,,,6708790557
Madison Square Garden,,46,,,,Visita aos bastidores da arena lendária da Big Apple,,,6715221739
Rockefeller Center,"Top of The Rock,The Ultimate Rockefeller Center Experience,Tour do Rockefeller Center,Pista de patinação The Rink",,https://www.rockefellercenter.com/pt-br/comprar-ingressos/#rockefeller-center-tour,,,,,,6715335432
Subitems,Name,Preço Médio,Descrição,Observação,Item ID (auto generated),,,,
,Top of The Rock,"59,88",Contemple a melhor vista de NYC do alto de 70 andares em nossos deques de observação internos e externos.,,6715527157,,,,
,The Ultimate Rockefeller Center Experience,,Experiência VIP ao Rockefeller Center.,,6715599651,,,,
,Tour do Rockefeller Center,"29,4",O tour guiado por um especialista do Rockefeller Center inclui edifícios e obras de arte importantes.,"Um tour para famílias está disponível às 10:30am, adequado para crianças de 6 a 12 anos.",6715605757,,,,
,Pista de patinação The Rink,,voltinha pela pista de patinação The Rink no Rockefeller Center.,"A pista de patinação está fechada nesta estação. Patinação VIP Seu ingresso VIP inclui tempo estendido de patinação (90 minutos no local), locação de patins de cortesia, 1 (uma) bebida quente de cortesia e 20% de desconto em produtos.",6715612314,,,,
Bateaux (Barco),,,,,,,,,7676208897
Central Park Zoo,,,,,,,,,7684962952
Limousine (Strecht,,,Falcon  Tour Travel -  contratação mínima de 4h - https://falcontourtravel.com/?fbclid=PAZXh0bgNhZW0CMTEAAaaraTjvOrJtoj6r9yOllD5EyxvuxpbGmCXeOGAn9MG83mDm1UkJtKhaYJw_aem_RooCwbtqVZeOmYuAJLjdvA,,,,,,7689053522
,,,,,,,,,
,,,,,,,,,
Esportes,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
NBA,,,,,,,,,6604963201
NHL,,,,,,,,,6604964343
NFL,,,,,,,,,6604965874
MLB,,,,,,,,,6604967856
MLS,,,,,,,,,6604968587
,,,,,,,,,
,,,,,,,,,
Shows / Eventos,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
Metallica,,,,,,,,,6604971357
,,,,,,,,,
,,,,,,,,,
Parques,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
Legoland,,94,https://www.legoland.com/new-york/,,,Reserva Obrigatória,,,6715281720
Six Flags,,,,,,,,,6715451848
American Dream Mall,,,,,,,,,6715454905
,,,,,,,,,
,,,,,,,,,
Experiências Imersivas,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
3 Virtual Reality Experiences,,"64,8",https://escapevirtuality.com/,,"Passe de VR de 1 hora, 2 horas ou o dia inteiro para explorar os melhores jogos de VR do país! Experimente jogos de tiro em primeira pessoa emocionantes, viagens espaciais cósmicas, esportes radicais cheios de adrenalina, alturas vertiginosas, simuladores de corrida de tirar o fôlego e experiências de terror de arrepiar a espinha, entre muito mais!",,,,6715700000
RiseNY,,"42,46",https://www.riseny.co/,"Domingo, Segunda, Quarta e Quinta: 10:00 - 18:00  Sexta e Sábado: 10:00 - 20:00",A aventura imersiva da cidade de Nova York Sobrevoe o horizonte de Nova York em um passeio 4D ‍Experimente a rica cultura pop e história de Nova York em nossas sete galerias imersivas ‍Reviva a história icônica de Nova York em nosso filme envolvente  Parte passeio. Parte Museu.,,,,6715738919
Spyscape,,"53,35",,,,Museu multissensorial,,,6715207257
Summit,,57,https://summitov.com/pt/tickets/,9h00 – 0h00,"O SUMMIT é uma inigualável imersão artística multissensorial de três níveis. O SUMMIT One Vanderbilt é uma mistura magistral de arte, tecnologia, arquitetura e emoções que despertarão a sua imaginação de maneiras inesperadas.",Última entrada às 22h30,,"Summit Experience $43, SUMMIT Signature Experience $57, SUMMIT Ascent $63",6604887163
,,,,,,,,,
,,,,,,,,,
Washington DC,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
Capitólio,,,https://www.visitthecapitol.gov/visit,,"Um monumento histórico, um prédio de escritórios em funcionamento e um dos símbolos mais emblemáticos da democracia em todo o mundo, você descobrirá todos esses lados do Capitólio dos EUA em sua visita. Veja a Câmara dos Representantes original, faça um tour pela cripta e ouça insights fascinantes que você não obterá em nenhum outro lugar. Você sairá com uma compreensão maior da importância contínua desse edifício e de seu lugar na história.",,,,6757038542
