product_id,name,price_per_unit,tax_percentage,limited,active_for_sale,category_id,image_url
39,New York Yankees - Ingresso MLB,120.00,8.88,true,true,2,https://<project>.supabase.co/storage/v1/object/public/esporte/yankees.jpg
40,New York Knicks - Ingresso NBA,150.00,8.88,true,true,2,https://<project>.supabase.co/storage/v1/object/public/esporte/knicks.jpg
41,Brooklyn Nets - Ingresso NBA,130.00,8.88,true,true,2,https://<project>.supabase.co/storage/v1/object/public/esporte/nets.jpg
42,New York Rangers - Ingresso NHL,140.00,8.88,true,true,2,https://<project>.supabase.co/storage/v1/object/public/esporte/rangers.jpg
43,New York Mets - Ingresso MLB,110.00,8.88,true,true,2,https://<project>.supabase.co/storage/v1/object/public/esporte/mets.jpg
44,New York Giants - Ingresso NFL,180.00,8.88,true,true,2,https://<project>.supabase.co/storage/v1/object/public/esporte/giants.jpg
45,Metropolitan Museum of Art - Ingresso,30.00,8.88,false,true,3,https://<project>.supabase.co/storage/v1/object/public/museus/met.jpg
46,Museum of Modern Art (MoMA) - Ingresso,25.00,8.88,false,true,3,https://<project>.supabase.co/storage/v1/object/public/museus/moma.jpg
47,American Museum of Natural History - Ingresso,28.00,8.88,false,true,3,https://<project>.supabase.co/storage/v1/object/public/museus/natural_history.jpg
48,Guggenheim Museum - Ingresso,25.00,8.88,false,true,3,https://<project>.supabase.co/storage/v1/object/public/museus/guggenheim.jpg
49,Whitney Museum of American Art - Ingresso,22.00,8.88,false,true,3,https://<project>.supabase.co/storage/v1/object/public/museus/whitney.jpg
50,Brooklyn Museum - Ingresso,20.00,8.88,false,true,3,https://<project>.supabase.co/storage/v1/object/public/museus/brooklyn_museum.jpg
51,Empire State Building - Observatório,45.00,8.88,false,true,4,https://<project>.supabase.co/storage/v1/object/public/atracoes/empire_state.jpg
52,Top of the Rock - Observatório,40.00,8.88,false,true,4,https://<project>.supabase.co/storage/v1/object/public/atracoes/top_of_rock.jpg
53,One World Observatory - Vista 360°,50.00,8.88,false,true,4,https://<project>.supabase.co/storage/v1/object/public/atracoes/one_world.jpg
54,Estátua da Liberdade - Tour Completo,35.00,8.88,false,true,4,https://<project>.supabase.co/storage/v1/object/public/atracoes/statue_liberty.jpg
55,Times Square - Tour Guiado,25.00,8.88,false,true,4,https://<project>.supabase.co/storage/v1/object/public/atracoes/times_square.jpg
56,Central Park - Tour Guiado,30.00,8.88,false,true,4,https://<project>.supabase.co/storage/v1/object/public/atracoes/central_park.jpg
57,Coney Island - Parque de Diversões,60.00,8.88,false,true,5,https://<project>.supabase.co/storage/v1/object/public/parques/coney_island.jpg
58,Bronx Zoo - Ingresso,35.00,8.88,false,true,5,https://<project>.supabase.co/storage/v1/object/public/parques/bronx_zoo.jpg
59,New York Aquarium - Ingresso,30.00,8.88,false,true,5,https://<project>.supabase.co/storage/v1/object/public/parques/aquarium.jpg
60,Brooklyn Bridge Park - Tour,15.00,8.88,false,true,5,https://<project>.supabase.co/storage/v1/object/public/parques/brooklyn_bridge_park.jpg
